iter	Passed	Remaining
361	76260	134404
362	76461	134177
363	76676	133973
364	76903	133790
365	77118	133588
366	77340	133397
367	77570	133219
368	77756	132966
369	77958	132740
370	78193	132570
371	78413	132375
372	78622	132162
373	78822	131933
374	79024	131707
375	79239	131503
376	79471	131328
377	79686	131124
378	79926	130961
379	80143	130759
380	80405	130631
381	80628	130440
382	80833	130219
383	81049	130016
384	81288	129849
385	81495	129632
386	81757	129501
387	81971	129295
388	82204	129118
389	82440	128945
390	82647	128727
391	82850	128502
392	83118	128378
393	83349	128197
394	83561	127986
395	83781	127787
396	83997	127583
397	84223	127392
398	84425	127167
399	84627	126941
400	84845	126738
401	85069	126546
402	85307	126374
403	85518	126161
404	85767	126003
405	85980	125794
406	86178	125561
407	86426	125403
408	86645	125201
409	86914	125071
410	87136	124874
411	87359	124677
412	87570	124465
413	87806	124286
414	88007	124059
415	88243	123880
416	88503	123735
417	88733	123547
418	88946	123336
419	89175	123146
420	89383	122928
421	89607	122733
422	89814	122513
423	90031	122306
424	90275	122136
425	90484	121920
426	90699	121711
427	90926	121518
428	91114	121273
429	91354	121097
430	91542	120852
431	91772	120663
432	91965	120425
433	92165	120197
434	92363	119965
435	92576	119755
436	92785	119538
437	92992	119319
438	93219	119125
439	93485	118980
440	93694	118764
441	93891	118532
442	94132	118356
443	94340	118138
444	94575	117954
445	94799	117755
446	95029	117564
447	95222	117328
448	95435	117115
449	95620	116870
450	95853	116682
451	96066	116469
452	96301	116284
453	96572	116142
454	96842	115998
455	97075	115809
456	97281	115587
457	97478	115357
458	97664	115112
459	97917	114947
460	98143	114748
461	98407	114595
462	98676	114447
463	98904	114252
464	99170	114099
465	99378	113880
466	99613	113691
467	99871	113528
468	100074	113303
469	100281	113083
470	100488	112862
471	100751	112704
472	100961	112487
473	101150	112247
474	101374	112045
475	101616	111863
476	101805	111623
477	102029	111421
478	102230	111194
479	102438	110974
480	102640	110748
481	102861	110543
482	103102	110360
483	103316	110147
484	103528	109932
485	103739	109716
486	103987	109538
487	104190	109314
488	104435	109133
489	104644	108915
490	104890	108735
491	105115	108534
492	105334	108326
493	105609	108175
494	105851	107990
495	106066	107776
496	106275	107558
497	106485	107340
498	106713	107141
499	106957	106957
500	107143	106715
501	107396	106541
502	107636	106352
503	107861	106149
504	108091	105950
505	108318	105749
506	108553	105556
507	108798	105371
508	108996	105141
509	109249	104965
510	109491	104777
511	109703	104560
512	109904	104334
513	110112	104113
514	110313	103887
515	110552	103696
516	110783	103498
517	111007	103293
518	111234	103089
519	111453	102880
520	111669	102667
521	111912	102479
522	112183	102316
523	112412	102115
524	112636	101908
525	112880	101721
526	113082	101494
527	113313	101295
528	113549	101099
529	113812	100928
530	114049	100733
531	114250	100506
532	114477	100302
533	114732	100122
534	114942	99903
535	115178	99706
536	115406	99502
537	115638	99302
538	115843	99079
539	116076	98879
540	116283	98658
541	116497	98442
542	116698	98216
543	116927	98013
544	117157	97810
545	117351	97577
546	117564	97361
547	117783	97149
548	118011	96945
549	118213	96720
550	118423	96501
551	118641	96288
552	118879	96092
553	119098	95880
554	119345	95691
555	119589	95499
556	119820	95297
557	120060	95101
558	120290	94897
559	120518	94692
560	120776	94511
561	121003	94305
562	121256	94119
563	121471	93903
564	121678	93681
565	121907	93476
566	122125	93263
567	122361	93063
568	122607	92871
569	122843	92671
570	123081	92472
571	123296	92257
572	123524	92050
573	123734	91830
574	123959	91622
575	124176	91407
576	124431	91220
577	124657	91012
578	124925	90835
579	125180	90647
580	125363	90408
581	125598	90206
582	125858	90022
583	126109	89831
584	126359	89639
585	126562	89414
586	126797	89211
587	127019	89000
588	127282	88816
589	127502	88603
590	127728	88394
591	127950	88182
592	128192	87983
593	128411	87769
594	128633	87557
595	128849	87341
596	129067	87126
597	129299	86920
598	129537	86719
599	129769	86512
600	129972	86288
601	130179	86065
602	130403	85854
603	130650	85658
604	130855	85434
605	131060	85211
606	131267	84988
607	131495	84779
608	131712	84564
609	131943	84357
610	132191	84161
611	132443	83967
612	132663	83753
613	132859	83524
614	133116	83332
615	133391	83153
616	133669	82975
617	133908	82772
618	134096	82537
619	134282	82302
620	134522	82100
621	134762	81897
622	134992	81688
623	135201	81467
624	135440	81264
625	135652	81044
626	135868	80827
627	136096	80617
628	136292	80389
629	136536	80187
630	136738	79962
631	136975	79758
632	137158	79521
633	137359	79295
634	137604	79095
635	137809	78872
636	138047	78667
637	138252	78444
638	138491	78240
639	138716	78028
640	138953	77822
641	139171	77606
642	139418	77406
643	139623	77182
644	139829	76960
645	140029	76734
646	140263	76526
647	140512	76327
648	140780	76138
649	141008	75927
650	141276	75738
651	141537	75544
652	141763	75332
653	141960	75104
654	142218	74909
655	142433	74690
656	142636	74466
657	142857	74251
658	143062	74027
659	143279	73810
660	143473	73581
661	143698	73368
662	143940	73164
663	144174	72956
664	144386	72736
665	144596	72515
666	144816	72299
667	145008	72070
668	145226	71853
669	145483	71656
670	145751	71463
671	145972	71248
672	146233	71052
673	146460	70840
674	146694	70630
675	146898	70406
676	147116	70189
677	147338	69974
678	147581	69769
679	147843	69573
680	148076	69363
681	148264	69132
682	148489	68918
683	148704	68699
684	148970	68504
685	149227	68305
686	149431	68081
687	149660	67869
688	149916	67669
689	150116	67443
690	150369	67242
691	150620	67039
692	150858	66830
693	151065	66608
694	151289	66393
695	151551	66195
696	151743	65965
697	151958	65746
698	152193	65536
699	152441	65331
700	152658	65113
701	152877	64896
702	153111	64685
703	153350	64476
704	153567	64258
705	153803	64048
706	154019	63830
707	154251	63617
708	154468	63399
709	154671	63175
710	154891	62958
711	155163	62762
712	155421	62560
713	155703	62368
714	155959	62165
715	156233	61969
716	156483	61764
717	156734	61558
718	156985	61353
719	157256	61155
720	157489	60942
721	157748	60739
722	157996	60532
723	158207	60311
724	158449	60101
725	158725	59904
726	158997	59706
727	159266	59506
728	159510	59296
729	159742	59082
730	159959	58863
731	160165	58640
732	160372	58416
733	160606	58203
734	160842	57990
735	161063	57772
736	161305	57562
737	161532	57346
738	161773	57134
739	161991	56916
740	162229	56703
741	162450	56485
742	162695	56275
743	162953	56069
744	163198	55859
745	163429	55644
746	163666	55431
747	163883	55211
748	164094	54990
749	164347	54782
750	164568	54564
751	164804	54350
752	165007	54125
753	165238	53910
754	165468	53694
755	165696	53478
756	165956	53272
757	166179	53054
758	166432	52846
759	166654	52627
760	166928	52425
761	167143	52204
762	167362	51985
763	167622	51778
764	167852	51562
765	168109	51354
766	168323	51133
767	168545	50914
768	168797	50705
769	169058	50498
770	169336	50295
771	169571	50080
772	169775	49856
773	170024	49645
774	170228	49421
775	170485	49212
776	170719	48996
777	170955	48781
778	171194	48567
779	171431	48352
780	171647	48131
781	171908	47923
782	172163	47713
783	172398	47497
784	172629	47280
785	172869	47066
786	173097	46848
787	173330	46631
788	173556	46413
789	173794	46198
790	174020	45980
791	174274	45769
792	174487	45547
793	174704	45326
794	174937	45109
795	175159	44890
796	175399	44675
797	175627	44457
798	175826	44231
799	176053	44013
800	176265	43791
801	176507	43576
802	176736	43358
803	176953	43138
804	177188	42921
805	177430	42706
806	177657	42488
807	177884	42269
808	178159	42062
809	178382	41842
810	178625	41627
811	178887	41417
812	179128	41201
813	179358	40983
814	179584	40764
815	179797	40542
816	180008	40320
817	180228	40099
818	180444	39878
819	180676	39660
820	180912	39443
821	181142	39225
822	181377	39008
823	181602	38788
824	181825	38569
825	182057	38351
826	182291	38133
827	182500	37910
828	182746	37695
829	182976	37477
830	183189	37255
831	183423	37037
832	183692	36826
833	183908	36605
834	184132	36385
835	184380	36170
836	184604	35950
837	184837	35732
838	185101	35520
839	185376	35309
840	185584	35086
841	185814	34867
842	186038	34647
843	186277	34430
844	186526	34214
845	186727	33990
846	186959	33771
847	187177	33550
848	187382	33327
849	187645	33113
850	187836	32887
851	188068	32669
852	188270	32445
853	188484	32223
854	188756	32011
855	189000	31794
856	189216	31572
857	189446	31353
858	189682	31135
859	189942	30920
860	190159	30699
861	190410	30483
862	190627	30261
863	190845	30040
864	191118	29827
865	191358	29609
866	191589	29390
867	191825	29171
868	192065	28953
869	192297	28734
870	192529	28514
871	192747	28293
872	193003	28077
873	193225	27856
874	193477	27639
875	193754	27426
876	193986	27206
877	194198	26984
878	194387	26758
879	194628	26540
880	194880	26323
881	195117	26104
882	195354	25885
883	195605	25667
884	195824	25446
885	196049	25225
886	196289	25006
887	196517	24785
888	196766	24568
889	196980	24345
890	197194	24123
891	197438	23905
892	197698	23688
893	197949	23470
894	198180	23250
895	198399	23028
896	198622	22807
897	198851	22586
898	199084	22366
899	199315	22146
900	199531	21924
901	199736	21700
902	199953	21478
903	200208	21261
904	200445	21041
905	200683	20821
906	200926	20602
907	201143	20380
908	201380	20160
909	201597	19938
910	201833	19718
911	202068	19497
912	202308	19278
913	202568	19060
914	202815	18840
915	203017	18617
916	203287	18400
917	203494	18177
918	203726	17956
919	203929	17733
920	204170	17512
921	204407	17292
922	204646	17072
923	204892	16852
924	205114	16630
925	205351	16410
926	205602	16190
927	205838	15970
928	206058	15748
929	206280	15526
930	206540	15307
931	206771	15086
932	206995	14864
933	207271	14646
934	207489	14424
935	207717	14202
936	207930	13980
937	208153	13758
938	208384	13537
939	208648	13318
940	208885	13096
941	209118	12875
942	209355	12654
943	209626	12435
944	209855	12213
945	210130	11994
946	210391	11774
947	210610	11552
948	210866	11332
949	211104	11110
950	211333	10888
951	211538	10665
952	211779	10444
953	211994	10221
954	212207	9999
955	212424	9776
956	212668	9555
957	212880	9332
958	213123	9111
959	213340	8889
960	213552	8666
961	213768	8444
962	213992	8221
963	214213	7999
964	214448	7777
965	214673	7555
966	214884	7333
967	215120	7111
968	215409	6891
969	215672	6670
970	215883	6447
971	216102	6225
972	216388	6004
973	216613	5782
974	216832	5559
975	217047	5337
976	217297	5115
977	217517	4893
978	217795	4671
979	218016	4449
980	218233	4226
981	218478	4004
982	218714	3782
983	218931	3559
984	219155	3337
985	219407	3115
986	219661	2893
987	219932	2671
988	220196	2449
989	220422	2226
990	220652	2003
991	220902	1781
992	221146	1558
993	221375	1336
994	221634	1113
995	221894	891
996	222114	668
997	222343	445
998	222593	222
999	222865	0
